storepointId,storepointName,kdjd,kdwd,kqdz,storeId,storeName,line_no,layer_no,batch,temp,x,y,z,avg_in_temp,max_temp,min_temp,indoor_temp,indoor_humidity,outdoor_temp,outdoor_humidity
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,1,1,2025-07-26 14:30:32,30.75,9,1,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,1,2,2025-07-26 14:30:32,26.50,9,2,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,1,3,2025-07-26 14:30:32,24.25,9,3,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,1,4,2025-07-26 14:30:32,24.25,9,4,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,2,1,2025-07-26 14:30:32,31.25,8,1,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,2,2,2025-07-26 14:30:32,27.00,8,2,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,2,3,2025-07-26 14:30:32,20.75,8,3,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,2,4,2025-07-26 14:30:32,21.75,8,4,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,3,1,2025-07-26 14:30:32,31.50,7,1,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,3,2,2025-07-26 14:30:32,25.25,7,2,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,3,3,2025-07-26 14:30:32,20.25,7,3,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,3,4,2025-07-26 14:30:32,22.00,7,4,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,4,1,2025-07-26 14:30:32,31.75,6,1,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,4,2,2025-07-26 14:30:32,27.75,6,2,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,4,3,2025-07-26 14:30:32,21.00,6,3,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,4,4,2025-07-26 14:30:32,20.75,6,4,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,5,1,2025-07-26 14:30:32,31.25,5,1,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,5,2,2025-07-26 14:30:32,27.75,5,2,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,5,3,2025-07-26 14:30:32,24.25,5,3,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,5,4,2025-07-26 14:30:32,24.00,5,4,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,6,1,2025-07-26 14:30:32,31.75,4,1,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,6,2,2025-07-26 14:30:32,28.00,4,2,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,6,3,2025-07-26 14:30:32,21.00,4,3,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,6,4,2025-07-26 14:30:32,20.25,4,4,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,7,1,2025-07-26 14:30:32,30.75,3,1,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,7,2,2025-07-26 14:30:32,26.00,3,2,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,7,3,2025-07-26 14:30:32,22.00,3,3,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,7,4,2025-07-26 14:30:32,21.00,3,4,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,8,1,2025-07-26 14:30:32,30.75,2,1,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,8,2,2025-07-26 14:30:32,25.00,2,2,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,8,3,2025-07-26 14:30:32,18.75,2,3,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,8,4,2025-07-26 14:30:32,19.75,2,4,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,9,1,2025-07-26 14:30:32,31.50,1,1,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,9,2,2025-07-26 14:30:32,25.25,1,2,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,9,3,2025-07-26 14:30:32,19.00,1,3,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,9,4,2025-07-26 14:30:32,20.00,1,4,1,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,10,1,2025-07-26 14:30:32,31.50,9,1,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,10,2,2025-07-26 14:30:32,25.50,9,2,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,10,3,2025-07-26 14:30:32,19.50,9,3,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,10,4,2025-07-26 14:30:32,20.25,9,4,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,11,1,2025-07-26 14:30:32,31.25,8,1,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,11,2,2025-07-26 14:30:32,25.00,8,2,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,11,3,2025-07-26 14:30:32,19.25,8,3,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,11,4,2025-07-26 14:30:32,21.00,8,4,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,12,1,2025-07-26 14:30:32,31.50,7,1,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,12,2,2025-07-26 14:30:32,31.00,7,2,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,12,3,2025-07-26 14:30:32,30.50,7,3,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,12,4,2025-07-26 14:30:32,28.75,7,4,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,13,1,2025-07-26 14:30:32,30.50,6,1,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,13,2,2025-07-26 14:30:32,25.75,6,2,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,13,3,2025-07-26 14:30:32,22.25,6,3,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,13,4,2025-07-26 14:30:32,24.00,6,4,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,14,1,2025-07-26 14:30:32,31.00,5,1,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,14,2,2025-07-26 14:30:32,24.00,5,2,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,14,3,2025-07-26 14:30:32,18.50,5,3,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,14,4,2025-07-26 14:30:32,22.75,5,4,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,15,1,2025-07-26 14:30:32,31.00,4,1,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,15,2,2025-07-26 14:30:32,24.50,4,2,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,15,3,2025-07-26 14:30:32,19.00,4,3,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,15,4,2025-07-26 14:30:32,24.25,4,4,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,16,1,2025-07-26 14:30:32,31.50,3,1,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,16,2,2025-07-26 14:30:32,24.75,3,2,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,16,3,2025-07-26 14:30:32,18.50,3,3,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,16,4,2025-07-26 14:30:32,23.50,3,4,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,17,1,2025-07-26 14:30:32,31.00,2,1,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,17,2,2025-07-26 14:30:32,24.25,2,2,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,17,3,2025-07-26 14:30:32,18.25,2,3,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,17,4,2025-07-26 14:30:32,22.50,2,4,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,18,1,2025-07-26 14:30:32,31.25,1,1,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,18,2,2025-07-26 14:30:32,25.75,1,2,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,18,3,2025-07-26 14:30:32,24.75,1,3,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,18,4,2025-07-26 14:30:32,25.75,1,4,2,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,19,1,2025-07-26 14:30:32,30.00,9,1,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,19,2,2025-07-26 14:30:32,25.25,9,2,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,19,3,2025-07-26 14:30:32,20.75,9,3,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,19,4,2025-07-26 14:30:32,20.50,9,4,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,20,1,2025-07-26 14:30:32,30.50,8,1,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,20,2,2025-07-26 14:30:32,24.50,8,2,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,20,3,2025-07-26 14:30:32,18.75,8,3,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,20,4,2025-07-26 14:30:32,20.50,8,4,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,21,1,2025-07-26 14:30:32,30.25,7,1,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,21,2,2025-07-26 14:30:32,24.50,7,2,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,21,3,2025-07-26 14:30:32,18.50,7,3,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,21,4,2025-07-26 14:30:32,20.25,7,4,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,22,1,2025-07-26 14:30:32,30.50,6,1,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,22,2,2025-07-26 14:30:32,24.00,6,2,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,22,3,2025-07-26 14:30:32,18.50,6,3,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,22,4,2025-07-26 14:30:32,20.00,6,4,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,23,1,2025-07-26 14:30:32,31.00,5,1,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,23,2,2025-07-26 14:30:32,24.50,5,2,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,23,3,2025-07-26 14:30:32,18.25,5,3,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,23,4,2025-07-26 14:30:32,19.75,5,4,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,24,1,2025-07-26 14:30:32,30.50,4,1,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,24,2,2025-07-26 14:30:32,24.75,4,2,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,24,3,2025-07-26 14:30:32,23.75,4,3,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,24,4,2025-07-26 14:30:32,24.00,4,4,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,25,1,2025-07-26 14:30:32,29.75,3,1,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,25,2,2025-07-26 14:30:32,25.50,3,2,3,24.96,31.75,18.25,30.56,31.94,35.06,60.38
